IBGE;UF;Regiao;Qtd_Mun;Sintaxe
11;RO;Norte;52;11'RO'
12;AC;Norte;22;12'AC'
13;AM;Norte;62;13'AM'
14;RR;Norte;15;14'RR'
15;PA;Norte;144;15'PA'
16;AP;Norte;16;16'AP'
17;TO;Norte;139;17'TO'
21;MA;Nordeste;217;21'MA'
22;PI;Nordeste;224;22'PI'
23;CE;Nordeste;184;23'CE'
24;RN;Nordeste;167;24'RN'
25;PB;Nordeste;223;25'PB'
26;PE;Nordeste;185;26'PE'
27;AL;Nordeste;102;27'AL'
28;SE;Nordeste;75;28'SE'
29;BA;Nordeste;417;29'BA'
31;MG;Sudeste;853;31'MG'
32;ES;Sudeste;78;32'ES'
33;RJ;Sudeste;92;33'RJ'
35;SP;Sudeste;645;35'SP'
41;PR;Sul;399;41'PR'
42;SC;Sul;295;42'SC'
43;RS;Sul;497;43'RS'
50;MS;Centro-Oeste;79;50'MS'
51;MT;Centro-Oeste;141;51'MT'
52;GO;Centro-Oeste;246;52'GO'
53;DF;Centro-Oeste;1;53'DF'
